id,brand,products
39751ac9-98da-4f05-bc8d-111f01a985a3,altelierdelcroix,"bccc52ef-8a47-4684-baf9-25d05db6e0b1, d605605c-5a40-4a0e-9b03-0eddbb3a0669, 62684b46-44a2-4d1d-be8b-29b5bcbfc35e, 50354775-099b-47b0-8230-e2e6fe195882, 8ad8204f-d2a0-4277-b71d-c4ccdedda635, 0fc87d43-19bd-44a8-bf11-ee9a88b9b066, efb15ac5-0527-4430-9811-759a4e211f00, bc611f18-daa5-4974-8a66-bfbf1c6e6e72, 49d04b0e-fb39-40d9-976a-2cd7628b87a6, 55bc1e4e-a4c8-4787-9161-0f35bf7c7683, c51a3aa0-5999-4bcc-93c0-a5a2b6a9fcce, b4c309c2-71e8-4c88-9b14-770c1c7923cd, bc38846b-1753-451c-b70a-e8df59011f6d, 78be1074-60ad-448c-a01e-6abc3ffd46a5, 36a9991e-53ad-4867-9cad-785cbd56c7d4, ac91b371-cf36-446b-b227-c4ea1b5d05b1, 1c9f96e1-3e8c-4305-9551-3169ddd7eef7, c37b4130-ebec-4591-83e1-985586280b7e"
ece254b0-ff41-4dee-8f87-aeb3cde5e79b,anima basics,"8982cbfb-0e3a-4b54-8b75-e7ab0c2a29e4, c05203ec-86c5-4e8c-b4b3-ff92eec8c19b, 4ff498ca-92d4-4599-8abd-83ec49f6dd87, 77bf527f-efb4-4399-940b-56df23a566cc, 8f173e89-3d4a-489a-9d52-b4f92152139c, ba35fcd7-461f-4414-9956-d8dcc0f2ca5e, d1fda80d-b7c0-441b-89a1-51a32573a31b, a8da5a2d-0295-480b-8033-086e873a47c7, 861acb21-8532-45ea-9f81-09b8dd8ecdea, 51351abf-2875-4248-b036-2182019f1bb8, 98201803-91bc-4cf5-bc76-2b4fd9130791"
50a80433-e843-4c3c-bfe6-d03e07854f05,aynie,
9eeb4eef-eac5-443a-b887-04003a8aaf59,blancblanc,"362a4092-5031-4c72-ba27-b996265bf675, b253c9be-803c-42da-9246-0c1a29066d22, 4cf37598-683b-496b-9242-1c527be01426, 99dd0858-326f-40c3-9b49-e631655b6a40, 08b4dc24-b5f1-4301-9bfb-f9ea54c84c62, 16c1e68d-f691-4a4d-b765-1e637fdebde9, defdad6b-1623-4ff4-b4bd-05429057cb8c, ec5b7ea0-b38a-4c60-9608-f7688db820da, ffc138bd-a5a6-4af9-9eb5-85086f1d9c5f, 04a14d47-4ee7-4068-a69a-1a40aa83e1fb, 9d66ee22-a6b3-45fb-9339-ceb490d6ae8f, ffaa5c0d-ffa1-483e-8d1f-212cc2e8cfeb, 6d031dd7-a59f-45b5-89f5-97c21764140d, bd4fb217-299c-468a-881b-626c31ee279a, 7b30991b-1f57-41a5-98fe-365f3928b3e1, 24a9319e-bfb0-4b93-87f2-e332a2e0ed76, c6a59d3d-cf92-4e2e-84a0-254566a21885, ad10c286-b0e4-4e16-b749-3e7395b9304a, e8b79190-c9c1-4c54-ad81-b9b5f931c8da"
f78e7c1d-2f78-4ffd-8272-7abe1a112de8,bluming,
d54e782e-c6f9-4bf6-a98a-0f7fef7b0dfb,chaina,"12e33a62-5fc3-492b-9fbd-180cb3788029, 7095baf6-67d6-4a5f-b7d9-00e0e649bae2, b736fb1e-0b11-4751-afba-a24bc523b406, 71dafbd7-e775-4acb-be0b-4f9a9c4d6872, 6e2d64a2-6150-4c1f-9132-0e6db69c3ce5, 3eef66fc-1533-4921-98ab-3ac8925daae4, f463c275-0b07-4244-92af-61e71ffd5737, d1564831-9311-437e-b510-a99b357a1d27, 50e4a5e5-bb38-4bc4-acf3-9a1496405d54, 504dd34b-e2f6-4862-948c-e7a89bd0abf2, fdf7e522-2bf3-4789-84f5-e873309bf674"
4776755c-d467-4f35-a7b4-623065426a0d,cheijlab,
a2e9bc84-6756-45cd-926a-f5eac33f9061,codex,"1440439d-a357-45cb-9de3-cb7382709802, 19adf2ba-3a73-44ba-9817-22873dbaeb29, 765f9c4b-df33-4a84-8a8a-bcf7cf041b70, 7778c53c-c7a0-49b5-8b3b-36b4f857b58b, fd290709-4e58-4ebf-919a-dd3efad368f7, 519ff38e-63dd-4311-add7-0bbc93b61eaa, 7152b9ef-ddb9-4898-b200-abf00f6d341a, ce8fa1d4-9c25-4bf6-9502-5bc223b77626, bb6fda44-03ec-4c42-8111-f852cda2a630, 834608bf-45d1-4f8e-beee-401fc4d7ccd8, 6efe2093-6b87-4542-ad07-4c089c5b2777, a1e798c4-1542-4717-b3d6-d326cd5476b3, a18773b5-2514-478e-98ab-23e310beeba3, 2962e6d2-128b-43bf-8bfd-86c7d64cd557, dc67507c-e777-4128-97ce-f00241f3464a, 247f8fdf-db72-4c47-8dc2-0f6dd280f945, d48462bf-c03d-44f4-91c3-2ad12c0b7eca, e33c7b0e-1ec9-446f-a021-2cb1fe3fefc5, 55ad284d-84bd-4910-96fe-a7bbc1652575, eda6db62-926b-4e4f-bb66-05842fbc43bd, 17c62fef-2662-4478-82b1-9630ec1e4cc0, f6fc25e5-6c24-4c16-8400-14b65136c62c, 708950a5-1c58-4201-869e-92648470582b, fadeacec-1b2e-4b71-89ce-8b34b2e85d6a, 00ecc1ea-732d-49ec-95a9-2b47b0cbbd6e, a7d7d68c-f06a-46a4-aae0-4b2c1c03db84, 3d6e92f4-8983-4810-9931-963c766affe9, 747de7a7-ae2e-41a6-b783-2958ea7040af, ec38f14d-2b2f-4acd-8b46-533903fa8974, c9b4a033-655b-4d34-8463-bbf016d2708d, 7f91ac37-17dc-465d-a086-23699344d3fb, 358ceda8-3cd6-48e5-9c3f-a72dc079a700, b81170a0-c2af-4139-bc88-5e398c137cf8, 5847c535-9549-44ec-9957-d0fbefe36348, 3247fdfc-7a50-478e-9a35-6c151d20df8c, 10ebacee-9436-4440-85a7-9911b4cebd91, 6846a796-c745-4b0d-abe5-44a1421f4687, 7321c40e-3961-4020-827e-f15c94949843, 387c414f-deef-4434-9838-9c15c7764361, 79cdca50-2a2b-427e-9461-f3518c648afa, 5dc4c546-7d0c-4898-b128-fa97ab9564c5, 960173e1-2188-41a0-b048-b057da2fe2a6"
19b880b4-35af-4383-af43-d086a4dee623,elemental,"f6dac461-eefc-438e-b445-1c616ad10d71, 421f9409-53de-4ada-b9bf-635ccb0416ae, d4086b02-8386-43a0-92db-4cd68f2d8bc6, 2d32a52f-c24f-499b-9960-031b8ca08789, 82c2d352-f642-4f88-aa9c-554f9ca7deed, 11522908-c6e5-4807-bb54-82e0f2253ad2, 03c3a643-ff96-4738-85e0-82249640022f, 02297973-c5d9-463e-a46f-596e6c9b0a9a, 9f85db08-2d89-4f72-8bf4-e9788d819643, 5c3de433-647b-45fd-91dd-832e5e7aa07b, 73d33d3a-fa8b-4be0-b162-5f8f65c9c574, 93b1d9b8-b8c7-48f6-8bf4-00ec4b351fa4, e4056ef9-a2c9-4280-b009-3b9a8fcd6bdd, 9b294a5a-82aa-4752-9027-f1252d4615ca, 08327255-7c7f-4e5f-82c5-5b567cc258b6, b395b40f-305f-49db-9e6b-786e1f02850c, b8e044fe-3114-4c29-8fc4-aa59123fd967, 2e984ce7-60f2-4375-a15e-55593b9afe3b, 72635d6b-9ec4-44a1-8c3e-1a49b2f5a740, a670a8e1-a396-4f4c-b8a7-7e48714d4f7a, bc1c5361-4ba1-4df3-ae6b-38f31c398487, c9041adb-c1fd-48e7-aa22-254bebbf14d8, 3ead4e4b-89d4-4140-bac7-e34728032292, 0acd44ce-89c2-45f5-8d73-e2ac22aabb6c"
90133a07-7757-48b4-b791-be7b015d42ba,emmei,
